id,year,team1,team2,match_result,match_winner,toss_winner,action
159,2016,Kings XI Punjab,Royal Challengers Bangalore,Normal,Royal Challengers Bangalore,Kings XI Punjab,field
160,2016,Rising Pune Supergiant,Sunrisers Hyderabad,Normal,Sunrisers Hyderabad,Sunrisers Hyderabad,bat
161,2016,Royal Challengers Bangalore,Mumbai Indians,Normal,Mumbai Indians,Mumbai Indians,field
162,2016,Sunrisers Hyderabad,Delhi Capitals,Normal,Delhi Capitals,Delhi Daredevils,field
163,2016,Mumbai Indians,Kings XI Punjab,Normal,Kings XI Punjab,Mumbai Indians,bat
164,2016,Royal Challengers Bangalore,Gujarat Lions,Normal,Royal Challengers Bangalore,Gujarat Lions,field
165,2016,Kolkata Knight Riders,Rising Pune Supergiant,Normal,Kolkata Knight Riders,Rising Pune Supergiants,bat
166,2016,Kings XI Punjab,Sunrisers Hyderabad,Normal,Sunrisers Hyderabad,Kings XI Punjab,bat
167,2016,Mumbai Indians,Delhi Capitals,Normal,Mumbai Indians,Delhi Daredevils,field
168,2016,Kolkata Knight Riders,Royal Challengers Bangalore,Normal,Royal Challengers Bangalore,Royal Challengers Bangalore,field
169,2016,Rising Pune Supergiant,Delhi Capitals,Normal,Rising Pune Supergiant,Rising Pune Supergiants,field
170,2016,Royal Challengers Bangalore,Kings XI Punjab,Normal,Royal Challengers Bangalore,Kings XI Punjab,field
171,2016,Gujarat Lions,Kolkata Knight Riders,Normal,Gujarat Lions,Gujarat Lions,field
172,2016,Delhi Capitals,Sunrisers Hyderabad,Normal,Delhi Capitals,Delhi Daredevils,field
173,2016,Rising Pune Supergiant,Kings XI Punjab,Normal,Rising Pune Supergiant,Kings XI Punjab,bat
174,2016,Gujarat Lions,Mumbai Indians,Normal,Gujarat Lions,Gujarat Lions,field
175,2016,Kolkata Knight Riders,Sunrisers Hyderabad,Normal,Kolkata Knight Riders,Sunrisers Hyderabad,field
176,2016,Delhi Capitals,Royal Challengers Bangalore,Normal,Royal Challengers Bangalore,Royal Challengers Bangalore,field
177,2016,Gujarat Lions,Royal Challengers Bangalore,Normal,Royal Challengers Bangalore,Royal Challengers Bangalore,field
178,2016,Sunrisers Hyderabad,Kolkata Knight Riders,Normal,Sunrisers Hyderabad,Kolkata Knight Riders,field
179,2016,Gujarat Lions,Sunrisers Hyderabad,Normal,Sunrisers Hyderabad,Sunrisers Hyderabad,field
180,2016,Royal Challengers Bangalore,Sunrisers Hyderabad,Normal,Sunrisers Hyderabad,Sunrisers Hyderabad,bat
181,2015,Kolkata Knight Riders,Mumbai Indians,Normal,Kolkata Knight Riders,Kolkata Knight Riders,field
182,2015,Chennai Super Kings,Delhi Capitals,Normal,Chennai Super Kings,Dehli Daredevils,field
183,2015,Kings XI Punjab,Rajasthan Royals,Normal,Rajasthan Royals,Kings XI Punjab,field
184,2015,Chennai Super Kings,Sunrisers Hyderabad,Normal,Chennai Super Kings,Chennai Super Kings,bat
185,2015,Kolkata Knight Riders,Royal Challengers Bangalore,Normal,Royal Challengers Bangalore,Royal Challengers Bangalore,field
186,2015,Delhi Capitals,Rajasthan Royals,Normal,Rajasthan Royals,Rajasthan Royals,field
187,2015,Mumbai Indians,Kings XI Punjab,Normal,Kings XI Punjab,Mumbai Indians,field
188,2015,Royal Challengers Bangalore,Sunrisers Hyderabad,Normal,Sunrisers Hyderabad,Sunrisers Hyderabad,field
189,2015,Rajasthan Royals,Mumbai Indians,Normal,Rajasthan Royals,Mumbai Indians,bat
190,2015,Kings XI Punjab,Delhi Capitals,Normal,Delhi Capitals,Kings XI Punjab,bat
191,2015,Sunrisers Hyderabad,Rajasthan Royals,Normal,Rajasthan Royals,Rajasthan Royals,field
192,2015,Mumbai Indians,Chennai Super Kings,Normal,Chennai Super Kings,Mumbai Indians ,bat
193,2015,Sunrisers Hyderabad,Delhi Capitals,Normal,Delhi Capitals,Delhi Daredevils,bat
194,2015,Kings XI Punjab,Kolkata Knight Riders,Normal,Kolkata Knight Riders,Kolkata Knight Riders,field
195,2015,Rajasthan Royals,Chennai Super Kings,Normal,Rajasthan Royals,Chennai Super Kings,bat
196,2015,Royal Challengers Bangalore,Mumbai Indians,Normal,Mumbai Indians,Royal Challengers Bangalore,field
197,2015,Delhi Capitals,Kolkata Knight Riders,Normal,Kolkata Knight Riders,Kolkata Knight Riders,field
198,2015,Rajasthan Royals,Kings XI Punjab,Tied,Kings XI Punjab,Kings XI Punjab,field
199,2015,Sunrisers Hyderabad,Kolkata Knight Riders,Normal,Sunrisers Hyderabad,Kolkata Knight Riders,field
200,2015,Royal Challengers Bangalore,Chennai Super Kings,Normal,Chennai Super Kings,Royal Challengers Bangalore,field
