id,year,team1,team2,match_result,match_winner,toss_winner,action
353,2012,Deccan Chargers,Kings XI Punjab,Normal,Kings XI Punjab,Deccan Charger,field
354,2012,Mumbai Indians,Royal Challengers Bangalore,Normal,Royal Challengers Bangalore,Royal Challengers Bangalore,field
355,2012,Deccan Chargers,Delhi Capitals,Normal,Delhi Capitals,Deccan Chargers,bat
356,2012,Rajasthan Royals,Chennai Super Kings,Normal,Chennai Super Kings,Chennai Super Kings,field
357,2012,Pune Warriors India,Royal Challengers Bangalore,Normal,Royal Challengers Bangalore,Pune Warriors India win the toss and field,field
358,2012,Kolkata Knight Riders,Mumbai Indians,Normal,Mumbai Indians,Mumbai Indians,bat
359,2012,Chennai Super Kings,Delhi Capitals,Normal,Chennai Super Kings,Chennai Super Kings,field
360,2012,Rajasthan Royals,Pune Warriors India,Normal,Rajasthan Royals,Rajasthan Royals,bat
361,2012,Kings XI Punjab,Deccan Chargers,Normal,Kings XI Punjab,Deccan Chargers,bat
362,2012,Royal Challengers Bangalore,Mumbai Indians,Normal,Mumbai Indians,Mumbai Indians,field
363,2012,Kolkata Knight Riders,Chennai Super Kings,Normal,Chennai Super Kings,Chennai Super Kings,field
364,2012,Delhi Capitals,Kings XI Punjab,Normal,Delhi Capitals,Kings XI Punjab,bat
365,2012,Mumbai Indians,Kolkata Knight Riders,Normal,Kolkata Knight Riders,Mumbai Indians,field
366,2012,Kings XI Punjab,Chennai Super Kings,Normal,Kings XI Punjab,Kings XI Punjab,field
367,2012,Delhi Capitals,Royal Challengers Bangalore,Normal,Royal Challengers Bangalore,Delhi Daredevils,field
368,2012,Deccan Chargers,Rajasthan Royals,Normal,Deccan Chargers,Rajasthan Royals,bat
369,2012,Kings XI Punjab,Delhi Capitals,Normal,Delhi Capitals,Delhi Daredevils,field
370,2012,Pune Warriors India,Kolkata Knight Riders,Normal,Kolkata Knight Riders,Kolkata Knight Riders,bat
371,2012,Deccan Chargers,Royal Challengers Bangalore,Normal,Deccan Chargers,Royal Challengers Bangalore,field
372,2012,Rajasthan Royals,Mumbai Indians,Normal,Mumbai Indians,Rajasthan Royals,bat
373,2012,Delhi Capitals,Kolkata Knight Riders,Normal,Kolkata Knight Riders,Kolkata Knight Rider,bat
374,2012,Mumbai Indians,Chennai Super Kings,Normal,Chennai Super Kings,Mumbai Indians,field
375,2012,Chennai Super Kings,Delhi Capitals,Normal,Chennai Super Kings,Delhi Daredevils,field
376,2012,Kolkata Knight Riders,Chennai Super Kings,Normal,Kolkata Knight Riders,Chennai Super Kings,bat
